X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.666933,-37.905382,8933,WYNDHA8524,Soldiers Reserve,,College,Road,WERRIBEE,3030,-37.905382,144.666933,26672,Australian Rules Football,1,Grass,26 - 50 Years,4. Good,1 - 5 Years,"Umpire/Officials, Unisex",WYNDHAM
144.688805,-37.885037,8934,WYNDHA8527,Warringa Crescent Reserve,,Warringa,Crescent,HOPPERS CROSSING,3029,-37.885037,144.688805,26678,Australian Rules Football,1,Grass,11 - 25 Years,4. Good,,"Female, Male, Unisex",WYNDHAM
144.729621,-37.900012,8935,WYNDHA11005,Windorah Drive Reserve,,Windorah,Drive,POINT COOK,3030,-37.900012,144.729621,26584,Australian Rules Football,1,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.624357,-37.899304,8937,WYNDHA8534,Wyndham Vale Reserve,,Honour,Avenue,WYNDHAM VALE,3024,-37.899304,144.624357,26695,Australian Rules Football,1,Grass,11 - 25 Years,3. Average,1 - 5 Years,"Umpire/Officials, Unisex",WYNDHAM
144.623519,-37.900235,8938,WYNDHA11007,Wyndham Vale South Reserve,,Black Forest,Road,WERRIBEE,3030,-37.900235,144.623519,26589,Australian Rules Football,2,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.719874,-37.869807,8946,WYNDHA8493,BoxingFit Hoppers Crossing,75-85,Elm Park,Drive,HOPPERS CROSSING,3029,-37.869807,144.719874,26595,Boxing,,,,,,,WYNDHAM
144.627805,-37.902769,8974,WYNDHA8504,Gordon O'Keefe Reserve,,Black Forest,Road,WERRIBEE,3030,-37.902769,144.627805,26621,Equestrian,,,,,,,WYNDHAM
144.680757,-37.87829,8988,WYNDHA8525,Victorian University Fitness Centres,,Hoppers,Lane,WERRIBEE,3030,-37.87829,144.680757,26674,Fitness / Gymnasium Workouts,,,,,,,WYNDHAM
144.671747,-37.938135,8992,WYNDHA8529,Werribee Park Golf Club,,K,Road,WERRIBEE,3030,-37.938135,144.671747,26681,Golf,,18 Hole Course - Public,,,,,WYNDHAM
144.723385,-37.874099,8993,WYNDHA11477,Gym Monkeys,3,Shaft,Court,HOPPERS CROSSING,3029,-37.874099,144.723385,27378,Gymnastics,,,,,,,WYNDHAM
144.728917,-37.871781,8994,WYNDHA11478,Resilience Gymnastic,15,Graham,Court,HOPPERS CROSSING,3029,-37.871781,144.728917,27379,Gymnastics,,,,,,,WYNDHAM
144.658592,-37.915129,8995,WYNDHA11522,Werribee Gymnastic Club,52,Riverside,Avenue,WERRIBEE,3030,-37.915129,144.658592,27380,Gymnastics,,,,,,,WYNDHAM
144.651117,-37.905445,8998,WYNDHA4281,Werribee RSL Bowls Club,,Watton,Street,WERRIBEE,3030,-37.905445,144.651117,26751,Lawn Bowls,3,"Artificial Turf, Grass",,4. Good,1 - 5 Years,"Female, Male",WYNDHAM
144.836154,-37.79601,1384,BRIMBA8361,JR Parsons Reserve,,Stanford,Street,SUNSHINE,3020,-37.79601,144.836154,26343,Athletics,,,,,,,BRIMBANK
144.855205,-37.714786,1385,BRIMBA8369,Keilor Park Recreational Reserve,,Stadium,Drive,KEILOR PARK,3042,-37.714786,144.855205,26354,Athletics,1,,,,,,BRIMBANK
144.795845,-37.773301,1386,BRIMBA8381,Moore Park,,Esmond,Street,DEER PARK,3023,-37.773301,144.795845,26381,Athletics,,,,,,,BRIMBANK
144.774164,-37.764036,1387,BRIMBA8391,Sassella Park,,Station,Road,DEER PARK,3023,-37.764036,144.774164,26393,Athletics,1,,,,,,BRIMBANK
144.800896,-37.7868,1388,BRIMBA8324,Ainsworth Reserve,,Glengala,Road,SUNSHINE,3020,-37.7868,144.800896,26286,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.793563,-37.758821,1389,BRIMBA8335,Cairnlea Park,,Furlong,Road,CAIRNLEA,3023,-37.758821,144.793563,26301,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.777832,-37.771846,1390,BRIMBA8344,Deer Park Reserve,,Ballarat,Road,DEER PARK,3023,-37.771846,144.777832,26313,Australian Rules Football,,Grass,,,,,BRIMBANK
144.7741,-37.7164,1391,BRIMBA8345,Delahey Recreation Reserve,,Goldsmith,Avenue,DELAHEY,3037,-37.7164,144.7741,26315,Australian Rules Football,,Grass,,,,,BRIMBANK
144.837725,-37.775225,1392,BRIMBA8346,Dempster Park,,Phoenix,Street,SUNSHINE,3020,-37.775225,144.837725,26318,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.803277,-37.745542,1393,BRIMBA8348,Errington Reserve,,Percy,Street,ST ALBANS,3021,-37.745542,144.803277,26322,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.818828,-37.725518,1394,BRIMBA8355,Green Gully Reserve,,Green Gully,Road,KEILOR,3036,-37.725518,144.818828,26331,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.777673,-37.771918,1395,BRIMBA8360,John McLeod Reserve,,Hume,Street,DEER PARK,3023,-37.771918,144.777673,26341,Australian Rules Football,,Grass,,,,,BRIMBANK
144.832595,-37.717403,1398,BRIMBA8371,Keilor Recreation Reserve,,Old Calder,Highway,KEILOR,3036,-37.717403,144.832595,26362,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.793504,-37.758816,1399,BRIMBA8372,Kevin Flint Reserve,,Furlong,Road,CAIRNLEA,3023,-37.758816,144.793504,26365,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.776658,-37.732765,1400,BRIMBA8375,Kings Park,,Gillespie,Road,ST ALBANS,3021,-37.732765,144.776658,26370,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.791658,-37.708386,1401,BRIMBA8377,Lionheart Reserve,,Lionheart,Avenue,TAYLORS LAKES,3038,-37.708386,144.791658,26374,Australian Rules Football,2,Grass,,,,,BRIMBANK
144.77654,-37.754068,1402,BRIMBA8389,Robert Bruce Reserve,,Gould,Street,DEER PARK,3023,-37.754068,144.77654,26390,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.814164,-37.781765,1403,BRIMBA8392,Selwyn Park,,Selwyn,Street,ALBION,3020,-37.781765,144.814164,26395,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.811911,-37.799758,1404,BRIMBA8403,Tallintyre Reserve,,Kermeen,Street,SUNSHINE,3020,-37.799758,144.811911,26415,Australian Rules Football,1,Grass,,,,,BRIMBANK
144.825909,-37.781009,1405,BRIMBA8329,Barclay Reserve,,Talmage,Street,ALBION,3020,-37.781009,144.825909,26295,Baseball,1,,,,,,BRIMBANK
144.784559,-37.740071,1406,BRIMBA8332,Brimbank College,,Jamieson,Street,ST ALBANS,3021,-37.740071,144.784559,26298,Basketball,,,,,,,BRIMBANK
144.848237,-37.713334,1407,BRIMBA8364,Keilor Basketball Stadium,,Stadium,Drive,KEILOR PARK,3042,-37.713334,144.848237,26348,Basketball,3,,,,,,BRIMBANK
